Type,Value,Type,Value,Type,Value
Data Source,BetaZero_Z_low,Data Source,BetaZero_Z_low,Data Source,BetaZero_Z_low
Element,Plate:face1,Element,Plate:face1,Element,Plate:face1
,,,,,
,,,,,
Time[s],Albedo Absorbed Heat Flux,Time[s],Planet Absorbed Heat Flux,Time[s],Solar Direct Heat Flux
0.0,135.82220270145808,0.0,74.83367225102204,0.0,0.0
108.57252857785333,133.6292575518422,108.57252857785333,74.83367225102187,108.57252857785333,0.0
217.14505715570667,129.32871259318003,217.14505715570667,74.83367225102204,217.14505715570667,0.0
325.71758573356,122.98840559198844,325.71758573356,74.83367225102204,325.71758573356,0.0
434.29011431141333,114.70835027342918,434.29011431141333,74.83367225102204,434.29011431141333,0.0
542.8626428892666,104.6191575810075,542.8626428892666,74.83367225102205,542.8626428892666,0.0
651.43517146712,92.87997400843827,651.43517146712,74.83367225102204,651.43517146712,0.0
760.0077000449734,79.67596963406457,760.0077000449734,74.83367225102204,760.0077000449734,0.0
868.5802286228267,65.21541560692904,868.5802286228267,74.83367225102216,868.5802286228267,0.0
977.1527572006801,49.72639731704159,977.1527572006801,74.83367225102205,977.1527572006801,0.0
1085.7252857785334,33.4532152277348,1085.7252857785334,74.833672251022,1085.7252857785334,0.0
1194.2978143563869,16.74773321220809,1194.2978143563869,74.83367225102197,1194.2978143563869,0.0
1302.8703429342402,2.250914239892349,1302.8703429342402,74.83367225102214,1302.8703429342402,0.0
1411.4428715120937,0.0,1411.4428715120937,74.83367225102195,1411.4428715120937,0.0
1520.015400089947,0.0,1520.015400089947,74.83367225102204,1520.015400089947,0.0
1613.4399344835551,0.0,1613.4399344835551,74.83367225102201,1613.4399344835551,0.0
1620.979693412573,0.0,1620.979693412573,74.83367225102216,1620.979693412573,0.0
1628.5879286678003,0.0,1628.5879286678003,74.83367225102212,1628.5879286678003,0.0
1737.1604572456538,0.0,1737.1604572456538,74.83367225102202,1737.1604572456538,0.0
1845.732985823507,0.0,1845.732985823507,74.83367225102207,1845.732985823507,0.0
1954.3055144013601,0.0,1954.3055144013601,74.83367225102215,1954.3055144013601,0.0
2062.878042979213,0.0,2062.878042979213,74.83367225102202,2062.878042979213,0.0
2171.4505715570663,0.0,2171.4505715570663,74.83367225102205,2171.4505715570663,0.0
2280.0231001349193,0.0,2280.0231001349193,74.83367225102195,2280.0231001349193,0.0
2388.5956287127724,0.0,2388.5956287127724,74.83367225102218,2388.5956287127724,0.0
2497.168157290626,0.0,2497.168157290626,74.83367225102204,2497.168157290626,0.0
2605.740685868479,0.0,2605.740685868479,74.83367225102204,2605.740685868479,0.0
2714.3132144463325,0.0,2714.3132144463325,74.83367225102216,2714.3132144463325,0.0
2822.885743024185,0.0,2822.885743024185,74.83367225102204,2822.885743024185,0.0
2931.458271602038,0.0,2931.458271602038,74.83367225102207,2931.458271602038,0.0
3040.0308001798912,0.0,3040.0308001798912,74.83367225102204,3040.0308001798912,0.0
3148.6033287577447,0.0,3148.6033287577447,74.83367225102215,3148.6033287577447,0.0
3257.175857335598,0.0,3257.175857335598,74.83367225102204,3257.175857335598,0.0
3365.748385913451,0.0,3365.748385913451,74.83367225102218,3365.748385913451,0.0
3474.3209144913035,0.0,3474.3209144913035,74.83367225102201,3474.3209144913035,0.0
3582.893443069158,0.0,3582.893443069158,74.83367225102204,3582.893443069158,0.0
3691.4659716470105,0.0,3691.4659716470105,74.83367225102215,3691.4659716470105,0.0
3800.038500224864,0.0,3800.038500224864,74.83367225102201,3800.038500224864,0.0
3807.6401087388394,0.0,3807.6401087388394,74.83367225102218,3807.6401087388394,0.0
3815.1798676678573,0.0,3815.1798676678573,74.83367225102207,3815.1798676678573,1351.7783155457068
3908.6110288027166,0.094887145659707,3908.6110288027166,74.83367225102214,3908.6110288027166,1388.4819224009382
4017.18355738057,2.6563818460597157,4017.18355738057,74.83367225102202,4017.18355738057,1410.737947490646
4125.756085958423,17.455108431400745,4125.756085958423,74.83367225102201,4125.756085958423,1410.7459816029832
4234.328614536276,34.23666914108059,4234.328614536276,74.83367225102202,4234.328614536276,1388.5055199250482
4342.90114311413,50.47837981101619,4342.90114311413,74.83367225102207,4342.90114311413,1344.3669415735908
4451.473671691982,65.92407936405766,4451.473671691982,74.83367225102215,4451.473671691982,1279.0260069210979
4560.046200269836,80.33015327729127,4560.046200269836,74.83367225102204,4560.046200269836,1193.5129058632665
4668.6187288476885,93.46937720071998,4668.6187288476885,74.83367225102195,4668.6187288476885,1089.1760284345742
4777.191257425542,105.13450242907835,4777.191257425542,74.83367225102207,4777.191257425542,967.6607126289238
4885.763786003396,115.141526555574,4885.763786003396,74.83367225102204,4885.763786003396,830.8833037854257
4994.336314581248,123.33259758801915,4994.336314581248,74.83367225102207,4994.336314581248,681.0009341745464
5102.908843159102,129.5785055838863,5102.908843159102,74.83367225102212,5102.908843159102,520.3774992855155
5211.481371736954,133.7807223705014,5211.481371736954,74.8336722510223,5211.481371736954,351.5463676674195
5320.053900314808,135.87295705690622,5320.053900314808,74.83367225102216,5320.053900314808,177.17041304813478
5428.626428892666,135.8222027014581,5428.626428892666,74.83367225102207,5428.626428892666,0.0
